,video,short-term_memorability,long-term_memorability
0,7494,0.8510513305664062,0.7683709263801575
1,7495,0.7918561100959778,0.752905547618866
2,7496,0.8995825052261353,0.8357560634613037
3,7497,0.8676764965057373,0.7526242733001709
4,7498,0.8314105868339539,0.7357392907142639
5,7499,0.9182435870170592,0.8623074293136597
6,7500,0.8216432929039001,0.7228166460990906
7,7502,0.8596070408821106,0.8115750551223755
8,7503,0.8623014688491821,0.7812890410423279
9,7504,0.8669177889823914,0.7712365388870239
10,7505,0.7806603908538818,0.6659822463989258
11,7506,0.8127990961074829,0.7383086681365967
12,7507,0.7862721085548401,0.6671683192253113
13,7508,0.8532866835594177,0.8130937218666077
14,7510,0.8518580794334412,0.7507961988449097
15,7511,0.9119223952293396,0.9111641049385072
16,7513,0.9062005281448364,0.8482773900032043
17,7515,0.8850441575050354,0.8119850158691406
18,7516,0.8906865119934082,0.8184369206428528
19,7517,0.8441972136497498,0.7184433937072754
20,7518,0.8894461393356323,0.8389810919761658
21,7519,0.8762286305427551,0.7634139060974121
22,7520,0.8696090579032898,0.7885234951972961
23,7521,0.8566312193870544,0.7723201513290405
24,7522,0.8756800293922424,0.7883827090263367
25,7523,0.9067227840423584,0.9178367257118224
26,7524,0.8872945308685303,0.8126241564750671
27,7525,0.8596271276473999,0.8163800239562988
28,7526,0.8454042077064514,0.7829752564430237
29,7527,0.8745705485343933,0.7954242825508118
30,7528,0.857060432434082,0.8298954963684082
31,7530,0.8906177282333374,0.8215762376785278
32,7531,0.8482534885406494,0.7740532755851746
33,7532,0.8367214202880859,0.8016012907028198
34,7533,0.9129266142845154,0.8910359740257263
35,7534,0.8943861722946167,0.8178359866142273
36,7535,0.8366150856018066,0.7115974426269531
37,7536,0.8531143665313721,0.7163308262825012
38,7538,0.8522539138793945,0.7297559976577759
39,7539,0.8631309866905212,0.7988783121109009
40,7540,0.8595751523971558,0.7997621893882751
41,7541,0.8494750261306763,0.7372244000434875
42,7542,0.9106042385101318,0.8449665307998657
43,7543,0.7381994128227234,0.6041238307952881
44,7544,0.8755367994308472,0.8388131856918335
45,7545,0.9153396487236024,0.8926923871040344
46,7546,0.8391916155815125,0.7236400246620178
47,7548,0.8568433523178101,0.7506213188171387
48,7549,0.8606353402137756,0.729633092880249
49,7550,0.896407425403595,0.7515982389450073
50,7552,0.7487561106681824,0.6000056266784668
51,7554,0.8553550839424133,0.7806350588798523
52,7555,0.8657849431037903,0.7868187427520752
53,7556,0.841742217540741,0.6699839234352112
54,7558,0.8226683139801025,0.7444024682044983
55,7560,0.8788540363311768,0.7926274538040161
56,7562,0.8514921069145203,0.8047143220901489
57,7563,0.8815958499908447,0.7939550280570984
58,7565,0.8352269530296326,0.7556120753288269
59,7566,0.869451642036438,0.7601115107536316
60,7567,0.8038011789321899,0.6445346474647522
61,7568,0.8514965176582336,0.740061342716217
62,7569,0.8705326914787292,0.8764723539352417
63,7571,0.8779724836349487,0.7944369912147522
64,7572,0.8664118051528931,0.768092691898346
65,7573,0.8511388897895813,0.7270823121070862
66,7574,0.8519512414932251,0.7457128167152405
67,7575,0.8337249755859375,0.6316208839416504
68,7576,0.8138585686683655,0.7266411185264587
69,7578,0.8697553873062134,0.8085638284683228
70,7579,0.8652216196060181,0.7105488777160645
71,7580,0.7647996544837952,0.6446427702903748
72,7581,0.8519313335418701,0.755410373210907
73,7582,0.8495825529098511,0.7176576852798462
74,7584,0.8610764741897583,0.8036249876022339
75,7585,0.8826721906661987,0.80350261926651
76,7587,0.8489372134208679,0.7503953576087952
77,7588,0.8714131116867065,0.7964747548103333
78,7589,0.8752759099006653,0.8318156599998474
79,7590,0.8840158581733704,0.8290186524391174
80,7591,0.9350470304489136,0.9140884280204772
81,7592,0.846104621887207,0.7024792432785034
82,7593,0.8202878832817078,0.7590357065200806
83,7596,0.8996837139129639,0.8493363261222839
84,7597,0.8862429857254028,0.7832256555557251
85,7598,0.8300904035568237,0.7772738337516785
86,7599,0.8827398419380188,0.840455174446106
87,7600,0.8857246041297913,0.8255879878997803
88,7602,0.8485457301139832,0.8302388787269592
89,7603,0.8512967228889465,0.706010103225708
90,7604,0.9005329608917236,0.8420982360839844
91,7605,0.915666162967682,0.8451624512672424
92,7606,0.8662425875663757,0.8085892200469971
93,7607,0.8071113824844359,0.7505515813827515
94,7608,0.924364686012268,0.9049131274223328
95,7609,0.8387383818626404,0.724213719367981
96,7610,0.8878417015075684,0.8104332685470581
97,7611,0.8901177048683167,0.8052957653999329
98,7612,0.8653010725975037,0.7921356558799744
99,7613,0.8952713608741759,0.8058248162269592
100,7614,0.8874959945678711,0.8007973432540894
101,7615,0.8547989130020142,0.7728477120399475
102,7616,0.8154787421226501,0.7402310967445374
103,7617,0.8447830080986023,0.6972319483757019
104,7618,0.8452260494232178,0.7710169553756714
105,7619,0.8596965670585632,0.7252955436706543
106,7621,0.833130419254303,0.7191657423973083
107,7624,0.8285365700721741,0.692693293094635
108,7625,0.8420445322990417,0.7017137408256531
109,7626,0.8589990735054016,0.8360081911087036
110,7627,0.8719623684883118,0.7989186644554138
111,7628,0.8736364841461182,0.7940856218338013
112,7629,0.8572940230369568,0.7761546969413757
113,7631,0.8980287909507751,0.812109112739563
114,7632,0.8952367305755615,0.8237573504447937
115,7633,0.8908078670501709,0.8494628071784973
116,7634,0.9080612659454346,0.871250569820404
117,7635,0.8677972555160522,0.7938564419746399
118,7636,0.822133481502533,0.7530873417854309
119,7637,0.8889212012290955,0.8474962711334229
120,7638,0.8354569077491759,0.7849277853965759
121,7640,0.8509425520896912,0.7123627066612244
122,7641,0.8100713491439819,0.6827340722084045
123,7642,0.7878572344779968,0.6803532242774963
124,7643,0.86806321144104,0.7982141375541687
125,7644,0.8563014268875122,0.8066900372505188
126,7646,0.8815081119537354,0.8088240027427673
127,7647,0.8293684720993042,0.7688449621200562
128,7648,0.8483297228813171,0.7898968458175659
129,7649,0.9024804830551147,0.8641991019248962
130,7650,0.8624485731124878,0.7900487184524536
131,7651,0.879582941532135,0.8390343189239502
132,7652,0.8821364045143127,0.8546968698501587
133,7654,0.8272860646247864,0.7598472833633423
134,7655,0.8227232098579407,0.653028666973114
135,7656,0.8105111122131348,0.6365177631378174
136,7657,0.8263258934020996,0.6740846633911133
137,7659,0.8706647753715515,0.8293641209602356
138,7660,0.9073026776313782,0.8299672603607178
139,7661,0.7956672310829163,0.7184894680976868
140,7662,0.8226884603500366,0.7079654932022095
141,7664,0.8742167353630066,0.8219279646873474
142,7665,0.8511371612548828,0.7670450806617737
143,7667,0.843366801738739,0.7725735902786255
144,7669,0.8700657486915588,0.7872182726860046
